更新时间: 2026-05-26 00:31:19（北京时间）

更新时间,#genre#
2026-05-26 00:31:19,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

重庆卫视,http://39.77.75.225:4000/udp/239.253.254.38:8000$山东联通
重庆卫视,http://106.59.2.96:55555/rtp/239.200.200.230:8364$云南电信
重庆卫视,http://106.59.2.96:55555/rtp/239.200.200.49:8264$云南电信
贵州卫视,http://39.77.75.225:4000/udp/239.253.254.113:8000$山东联通
贵州卫视,http://106.59.2.96:55555/rtp/239.200.201.119:8788$云南电信
云南卫视,http://39.77.75.225:4000/udp/239.253.254.196:8000$山东联通
云南卫视,http://106.59.2.96:55555/rtp/239.200.200.205:8616$云南电信
云南卫视,http://106.59.2.96:55555/rtp/239.200.200.145:8840$云南电信
云南卫视,http://106.59.2.96:55555/rtp/239.200.201.141:8872$云南电信
天津卫视,http://39.77.75.225:4000/udp/239.253.254.89:8000$山东联通
天津卫视,http://106.59.2.96:55555/rtp/239.200.200.69:1234$云南电信
安徽卫视,http://39.77.75.225:4000/udp/239.253.254.87:8000$山东联通
安徽卫视,http://106.59.2.96:55555/rtp/239.200.200.129:8720$云南电信
山东卫视,http://39.77.75.225:4000/udp/239.253.254.78:8000$山东联通
山东卫视,http://106.59.2.96:55555/rtp/239.200.201.223:9092$云南电信
山东卫视,http://106.59.2.96:55555/rtp/239.200.200.168:8748$云南电信
辽宁卫视,http://39.77.75.225:4000/udp/239.253.254.92:8000$山东联通
辽宁卫视,http://106.59.2.96:55555/rtp/239.200.200.167:8736$云南电信
黑龙江卫视,http://39.77.75.225:4000/udp/239.253.254.93:8000$山东联通
黑龙江卫视,http://106.59.2.96:55555/rtp/239.200.200.66:8016$云南电信
吉林卫视,http://39.77.75.225:4000/udp/239.253.254.173:8000$山东联通
吉林卫视,http://106.59.2.96:55555/rtp/239.200.201.127:8792$云南电信
内蒙古卫视,http://106.59.2.96:55555/rtp/239.200.200.57:8296$云南电信
宁夏卫视,http://106.59.2.96:55555/rtp/239.200.200.60:8308$云南电信
山西卫视,http://106.59.2.96:55555/rtp/239.200.200.56:8292$云南电信
陕西卫视,http://106.59.2.96:55555/rtp/239.200.200.55:8288$云南电信
甘肃卫视,http://39.77.75.225:4000/udp/239.253.254.74:8000$山东联通
甘肃卫视,http://106.59.2.96:55555/rtp/239.200.200.186:8356$云南电信
